229.9438684557	227.6774307	1
225.4109929429	219.2710545	2
213.1311160302	205.1908842	3
197.2506523321	189.2026455	4
181.1546387228	165.7079584	5
150.2612780024	133.9616619	6
117.6620457623	109.8549142	7
102.047782693	95.14239068	8
88.2369986602	83.3823633	9
78.5277279483	74.61735513	10
70.706982304	69.59955296	11
68.4921236065	67.92568909	12
67.35925457	65.97773915	13
64.5962237211	63.35481117	14
62.1133986283	60.36804932	15
58.6227000143	56.63593689	16
54.6491737656	52.08810122	17
49.5270286696	46.74505188	18
43.9630750873	41.81831705	19
39.6735590134	36.97834603	20
34.2831330532	28	21
