wavelength	x	y	z
380	0.001368	0.000039	0.00645
384	0.001996	0.000057	0.009415
388	0.003301	0.000094	0.015588
392	0.00533	0.000151	0.025203
396	0.008751	0.000247	0.041438
400	0.01431	0.000396	0.06785
404	0.020748	0.000572	0.09854
408	0.033881	0.000941	0.161304
412	0.055023	0.001531	0.262611
416	0.086958	0.002455	0.416209
420	0.13438	0.004	0.6456
424	0.198611	0.006546	0.959439
428	0.258777	0.009768	1.258123
432	0.304897	0.013583	1.494804
436	0.334351	0.018007	1.656405
440	0.34828	0.023	1.74706
444	0.349287	0.028351	1.780433
448	0.341809	0.034521	1.779198
452	0.330041	0.041768	1.764039
456	0.314025	0.050244	1.73356
460	0.2908	0.06	1.6692
464	0.260423	0.070911	1.564528
468	0.218407	0.083667	1.38988
472	0.173327	0.099046	1.187824
476	0.132179	0.117532	0.994198
480	0.09564	0.13902	0.81295
484	0.064581	0.162718	0.652105
488	0.041151	0.191274	0.520338
492	0.024144	0.226735	0.416184
496	0.012162	0.270185	0.334858
500	0.0049	0.323	0.272
504	0.002236	0.389288	0.223453
508	0.005175	0.463394	0.179225
512	0.015536	0.544512	0.138376
516	0.034815	0.629346	0.103905
520	0.06327	0.71	0.07825
524	0.099456	0.777837	0.060788
528	0.142368	0.836307	0.047753
532	0.18914	0.884962	0.036936
536	0.238321	0.923735	0.027712
540	0.2904	0.954	0.0203
544	0.345483	0.976023	0.014585
548	0.403378	0.990313	0.010378
552	0.464336	0.998098	0.007382
556	0.528296	0.999857	0.005304
560	0.5945	0.995	0.0039
564	0.66157	0.982724	0.002935
568	0.728828	0.963857	0.002309
572	0.794826	0.938499	0.001948
576	0.857933	0.907006	0.001766
580	0.9163	0.87	0.00165
584	0.967218	0.827581	0.001459
588	1.009089	0.781192	0.001205
592	1.040986	0.732422	0.001049
596	1.059794	0.682219	0.000969
600	1.0622	0.631	0.0008
604	1.050977	0.579638	0.000645
608	1.022666	0.528353	0.000435
612	0.979331	0.47803	0.000283
616	0.923194	0.42908	0.00023
620	0.85445	0.381	0.00019
624	0.772954	0.332818	0.000117
628	0.685602	0.286594	0.000065
632	0.601114	0.24489	0.000039
636	0.5226	0.208162	0.000028
640	0.4479	0.175	0.00002
644	0.377533	0.145126	0.000012
648	0.313019	0.118779	0.000003
652	0.256118	0.096189	0
656	0.207097	0.077121	0
660	0.1649	0.061	0
664	0.129147	0.04755	0
668	0.09969	0.036564	0
672	0.076804	0.028077	0
676	0.059807	0.021801	0
680	0.04677	0.017	0
684	0.035405	0.012835	0
688	0.026345	0.009533	0
692	0.0196	0.007085	0
696	0.014791	0.005343	0
700	0.011359	0.004102	0
704	0.008679	0.003134	0
708	0.006627	0.002393	0
712	0.005053	0.001825	0
716	0.003834	0.001384	0
720	0.002899	0.001047	0
